queue_length,priority,num_doctors,arrival_rate,dept_load,time_of_day,free_doctors,wait_time
28,1,4,0.375,5,8,1,39.0
22,1,4,0.738,5,11,1,27.0
18,0,5,0.683,2,9,3,55.0
10,1,5,0.22,2,22,3,31.0
3,2,3,0.539,1,17,2,10.0
28,1,4,0.131,5,0,1,59.0
28,1,4,0.312,5,8,1,43.0
18,1,4,0.473,5,16,1,23.0
28,1,4,0.42,5,6,1,42.0
28,1,4,0.242,5,5,1,51.0
7,1,3,0.104,0,1,3,34.0
12,1,3,0.294,1,22,2,39.0
18,0,5,0.466,2,16,3,53.0
28,1,4,0.553,5,9,1,45.0
28,1,4,0.545,5,13,1,49.0
28,0,4,0.137,5,1,1,57.0
12,2,5,0.161,2,22,3,35.0
28,1,4,0.631,5,18,1,55.0
10,1,4,0.386,0,16,4,50.0
28,1,4,0.158,5,23,1,40.0
20,1,4,0.222,5,5,1,25.0
28,1,4,0.328,5,16,1,51.0
24,2,4,0.358,5,7,1,30.0
5,2,5,0.173,2,5,3,16.0
18,1,4,0.391,5,14,1,23.0
28,1,4,0.696,5,21,1,51.0
28,1,4,0.14,5,2,1,58.0
8,2,5,0.629,2,13,3,25.0
16,1,3,0.648,1,17,2,55.0
28,1,4,0.309,5,14,1,37.0
9,1,2,0.652,0,13,2,46.0
12,1,3,0.134,1,22,2,40.0
28,1,4,0.313,5,15,1,53.0
4,2,4,0.29,0,1,4,20.0
28,0,4,0.741,5,20,1,52.0
28,1,4,0.262,5,23,1,49.0
8,2,4,0.576,5,21,1,10.0
16,1,3,0.524,1,13,2,52.0
28,2,4,0.671,5,10,1,35.0
5,2,5,0.61,2,19,3,16.0
26,1,4,0.531,5,13,1,33.0
13,2,4,0.399,5,15,1,16.0
20,1,5,0.307,2,6,3,59.0
28,1,4,0.727,5,13,1,39.0
28,1,4,0.565,5,12,1,37.0
13,1,4,0.666,5,18,1,16.0
28,1,4,0.578,5,17,1,56.0
17,1,3,0.204,1,2,2,57.0
17,2,4,0.209,5,1,1,21.0
23,2,4,0.137,5,22,1,29.0
10,2,4,0.742,5,10,1,13.0
28,0,4,0.455,5,6,1,53.0
28,1,4,0.735,5,21,1,37.0
6,1,5,0.479,2,16,3,19.0
16,1,5,0.22,2,4,3,48.0
28,0,4,0.73,5,10,1,57.0
10,1,4,0.118,5,4,1,13.0
15,1,5,0.339,2,14,3,45.0
28,1,4,0.511,5,17,1,41.0
16,1,3,0.165,1,5,2,55.0
28,1,4,0.597,5,11,1,58.0
10,1,4,0.354,5,6,1,12.0
10,1,5,0.707,2,9,3,30.0
16,1,5,0.589,2,11,3,48.0
25,2,4,0.156,5,22,1,31.0
14,1,4,0.636,5,11,1,18.0
18,0,5,0.535,2,20,3,55.0
17,0,5,0.46,2,14,3,51.0
7,1,3,0.115,1,23,2,23.0
28,1,4,0.297,5,23,1,46.0
28,1,4,0.254,5,0,1,37.0
28,1,4,0.34,5,15,1,59.0
7,1,3,0.301,0,15,3,34.0
9,1,5,0.263,2,2,3,27.0
28,1,4,0.677,5,10,1,55.0
7,1,3,0.682,0,20,3,34.0
6,2,5,0.693,2,18,3,17.0
28,1,4,0.519,5,20,1,40.0
3,1,3,0.59,0,10,3,16.0
8,1,5,0.529,2,11,3,25.0
18,2,4,0.273,5,3,1,23.0
28,0,4,0.225,5,3,1,51.0
26,2,4,0.366,5,6,1,33.0
2,2,3,0.516,0,20,3,10.0
10,1,4,0.362,0,7,4,50.0
26,1,4,0.365,5,8,1,32.0
5,1,5,0.246,2,3,3,15.0
12,1,5,0.659,2,13,3,35.0
27,1,4,0.722,5,21,1,34.0
18,1,3,0.394,1,14,2,59.0
11,2,4,0.53,5,19,1,14.0
11,1,3,0.678,1,17,2,38.0
7,1,2,0.69,0,10,2,37.0
9,1,5,0.212,2,4,3,26.0
4,1,5,0.454,2,6,3,11.0
9,2,4,0.199,5,1,1,11.0
28,1,4,0.405,5,6,1,59.0
23,2,4,0.607,5,13,1,29.0
19,0,5,0.305,2,8,3,56.0
28,1,4,0.527,5,17,1,47.0
15,2,4,0.508,5,11,1,19.0
11,2,5,0.659,2,21,3,34.0
28,1,4,0.363,5,7,1,36.0
28,1,4,0.202,5,2,1,59.0
14,1,5,0.282,2,22,3,42.0
27,1,4,0.562,5,11,1,34.0
18,1,5,0.382,2,14,3,55.0
28,1,4,0.689,5,18,1,57.0
9,1,4,0.557,5,10,1,11.0
14,1,5,0.519,2,19,3,42.0
14,1,3,0.158,1,4,2,45.0
15,1,5,0.54,2,13,3,45.0
19,1,5,0.286,2,4,3,58.0
8,1,4,0.262,0,1,4,40.0
10,2,5,0.227,2,2,3,29.0
7,2,3,0.718,1,13,2,24.0
17,2,4,0.701,5,20,1,21.0
10,1,5,0.337,2,16,3,31.0
2,2,2,0.279,0,4,2,11.0
12,1,3,0.208,1,2,2,41.0
18,1,4,0.702,5,18,1,23.0
10,0,2,0.479,0,6,2,52.0
16,0,3,0.58,1,9,2,53.0
12,2,4,0.122,5,2,1,15.0
28,1,4,0.557,5,20,1,49.0
18,1,4,0.607,5,11,1,23.0
19,0,5,0.705,2,10,3,58.0
28,1,4,0.715,5,9,1,40.0
9,1,4,0.101,0,1,4,47.0
23,2,4,0.402,5,14,1,29.0
17,1,5,0.604,2,10,3,50.0
7,1,5,0.556,2,13,3,22.0
11,1,3,0.124,1,5,2,38.0
5,2,5,0.368,2,15,3,15.0
26,1,4,0.736,5,12,1,33.0
28,0,4,0.365,5,14,1,52.0
28,1,4,0.404,5,8,1,48.0
11,1,4,0.676,5,13,1,14.0
20,2,4,0.591,5,11,1,25.0
8,2,5,0.494,2,7,3,25.0
8,2,5,0.292,2,3,3,25.0
25,2,4,0.35,5,8,1,31.0
28,0,4,0.199,5,23,1,58.0
11,2,4,0.575,5,11,1,14.0
21,1,4,0.571,5,12,1,26.0
6,2,5,0.107,2,3,3,18.0
15,1,5,0.422,2,15,3,46.0
8,2,3,0.401,1,8,2,26.0
28,1,4,0.31,5,14,1,48.0
16,1,4,0.57,5,11,1,20.0
3,2,3,0.482,1,15,2,11.0
28,1,4,0.148,5,5,1,36.0
28,1,4,0.129,5,1,1,49.0
14,2,4,0.622,5,17,1,17.0
21,2,4,0.297,5,1,1,26.0
28,1,4,0.348,5,15,1,55.0
6,1,3,0.668,0,10,3,31.0
7,2,3,0.69,1,18,2,22.0
28,0,4,0.348,5,14,1,53.0
23,2,4,0.682,5,21,1,29.0
20,1,5,0.174,2,2,3,59.0
28,1,4,0.658,5,9,1,50.0
5,1,3,0.427,1,16,2,16.0
28,1,4,0.634,5,18,1,42.0
18,1,3,0.118,1,0,2,59.0
9,2,4,0.709,5,20,1,11.0
28,1,4,0.58,5,13,1,46.0
18,0,5,0.137,2,23,3,54.0
28,0,4,0.308,5,7,1,58.0
13,1,5,0.218,2,0,3,39.0
18,1,4,0.236,5,22,1,23.0
27,2,4,0.103,5,1,1,34.0
8,1,5,0.628,2,21,3,25.0
23,1,4,0.557,5,17,1,29.0
4,1,3,0.229,0,1,3,19.0
28,1,4,0.335,5,7,1,37.0
22,1,4,0.438,5,6,1,28.0
26,1,4,0.377,5,6,1,32.0
15,2,4,0.287,5,1,1,19.0
16,1,5,0.534,2,11,3,48.0
10,1,5,0.368,2,15,3,30.0
27,2,4,0.123,5,22,1,34.0
28,0,4,0.731,5,11,1,59.0
28,1,4,0.719,5,17,1,42.0
13,1,5,0.352,2,7,3,40.0
3,2,3,0.232,0,23,3,17.0
11,1,3,0.463,0,6,3,54.0
28,0,4,0.411,5,7,1,56.0
23,2,4,0.632,5,11,1,29.0
18,1,5,0.348,2,16,3,53.0
26,1,4,0.119,5,3,1,32.0
12,1,3,0.724,1,13,2,41.0
